,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
131,cape town,0.0,ZA,1550959200,94.0,-33.93,18.42,68.0,11.41
134,ixtapa,40.0,MX,1550958060,69.0,20.71,-105.21,75.2,11.41
135,faanui,8.0,PF,1550961929,99.0,-16.48,-151.75,83.56,14.23
137,ginda,64.0,IN,1550961930,71.0,30.69,78.49,29.74,1.81
138,bahia blanca,0.0,AR,1550961930,65.0,-38.72,-62.27,66.77,19.48
139,noyabrsk,64.0,RU,1550961930,88.0,63.2,75.45,19.25,8.75
140,saskylakh,48.0,RU,1550961931,61.0,71.97,114.09,-13.74,17.47
141,airai,0.0,TL,1550961931,68.0,-8.93,125.41,77.93,1.7
143,guerrero negro,0.0,MX,1550961931,73.0,27.97,-114.04,60.25,6.73
144,talcahuano,0.0,CL,1550959200,55.0,-36.72,-73.12,66.2,20.8
146,northam,0.0,GB,1550958600,93.0,51.04,-4.21,46.4,6.93
147,rolla,90.0,US,1550958960,87.0,37.95,-91.77,62.6,12.75
148,lagoa vermelha,64.0,BR,1550961933,58.0,-28.21,-51.53,79.33,5.61
149,bethel,1.0,US,1550958960,69.0,60.79,-161.76,37.4,10.29
150,axim,20.0,GH,1550961934,96.0,4.87,-2.24,83.6,15.12
151,pisco,0.0,PE,1550959200,30.0,-13.71,-76.2,71.6,21.92
152,te anau,92.0,NZ,1550961934,99.0,-45.41,167.72,43.51,5.5
153,cockburn town,20.0,TC,1550961935,99.0,21.46,-71.14,77.48,21.5
154,kaliua,76.0,TZ,1550961935,97.0,-5.06,31.79,64.39,1.92
156,atasu,0.0,KZ,1550961936,44.0,48.68,71.64,-1.77,4.61
158,hilo,90.0,US,1550958780,83.0,19.71,-155.08,75.2,8.05
159,saint george,90.0,GR,1550958600,86.0,39.45,22.34,37.4,4.7
160,salalah,75.0,OM,1550958600,78.0,17.01,54.1,75.2,4.7
161,tuatapere,92.0,NZ,1550961937,100.0,-46.13,167.69,50.12,11.77
162,san cristobal,75.0,EC,1550959200,87.0,-0.39,-78.55,66.2,8.05
163,iqaluit,90.0,CA,1550959200,69.0,63.75,-68.52,-13.01,8.05
164,souillac,0.0,FR,1550959200,66.0,45.6,-0.6,50.0,4.7
165,yellowknife,5.0,CA,1550959200,57.0,62.45,-114.38,-9.41,10.29
166,solwezi,44.0,ZM,1550961938,94.0,-12.18,26.4,60.11,2.93
167,suhbaatar,0.0,MN,1550961939,62.0,50.23,106.21,2.6,2.82
168,trairi,68.0,BR,1550961939,100.0,-3.28,-39.27,79.91,10.31
169,katsuura,75.0,JP,1550959200,69.0,33.93,134.5,37.4,9.17
170,norman wells,5.0,CA,1550959200,76.0,65.28,-126.83,-4.01,11.41
171,corod,88.0,RO,1550961940,64.0,45.9,27.63,23.53,12.21
172,gizo,0.0,IL,1550958600,81.0,31.8,34.94,51.8,2.24
